State,State_Code,District,District_Code,Block,Block_Code,Program,School,School_Code,student_ID,student_Name,Father_Name,Roll_Number,Class,Mobile,password
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001001,Student0,Father0,001,8,9512632570,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001002,Student1,Father1,002,8,9491566666,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001003,Student2,Father2,003,8,9953112324,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001004,Student3,Father3,004,7,9847652898,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001005,Student4,Father4,005,6,9526955927,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001006,Student5,Father5,006,6,9874659494,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001007,Student6,Father6,007,6,9289051685,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001008,Student7,Father7,008,7,9986053700,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001009,Student8,Father8,009,8,9697398081,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001010,Student9,Father9,010,6,9207216820,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001011,Student10,Father10,011,8,9301829252,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001012,Student11,Father11,012,7,9417444548,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001013,Student12,Father12,013,7,9125351353,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001014,Student13,Father13,014,7,9957469746,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001015,Student14,Father14,015,6,9899263958,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001016,Student15,Father15,016,7,9765720716,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001017,Student16,Father16,017,8,9593488491,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001018,Student17,Father17,018,8,9994735575,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001019,Student18,Father18,019,6,9165714875,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001020,Student19,Father19,020,6,9380014419,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001021,Student20,Father20,021,7,9775089598,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001022,Student21,Father21,022,6,9656442766,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001023,Student22,Father22,023,6,9312579231,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001024,Student23,Father23,024,8,9581741922,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001025,Student24,Father24,025,7,9696026106,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001026,Student25,Father25,026,8,9872800131,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001027,Student26,Father26,027,7,9191713477,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001028,Student27,Father27,028,6,9371487062,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001029,Student28,Father28,029,6,9554394750,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001030,Student29,Father29,030,7,9112904702,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001031,Student30,Father30,031,6,9897805230,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001032,Student31,Father31,032,8,9331907870,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001033,Student32,Father32,033,6,9886181307,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001034,Student33,Father33,034,6,9934032830,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001035,Student34,Father34,035,8,9904261973,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001036,Student35,Father35,036,6,9700455058,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001037,Student36,Father36,037,6,9202636055,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001038,Student37,Father37,038,8,9702216981,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001039,Student38,Father38,039,7,9274100025,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001040,Student39,Father39,040,7,9132578625,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001041,Student40,Father40,041,8,9710288772,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001042,Student41,Father41,042,6,9374099754,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001043,Student42,Father42,043,7,9869359462,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001044,Student43,Father43,044,6,9906499355,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001045,Student44,Father44,045,7,9483059205,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001046,Student45,Father45,046,7,9220231270,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001047,Student46,Father46,047,6,9443829551,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001048,Student47,Father47,048,7,9350075820,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001049,Student48,Father48,049,8,9827262399,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001050,Student49,Father49,050,8,9811092718,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001051,Student50,Father50,051,8,9685652631,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001052,Student51,Father51,052,6,9377310121,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001053,Student52,Father52,053,6,9615367146,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001054,Student53,Father53,054,8,9864365673,1234
Uttar Pradesh,09,Gorakhpur,273,Chargawa,001,Digital education,Composite UPS Narayanpur,001,09273001001055,Student54,Father54,055,8,9206572062,1234
